|      17010 <= x <       17070;  y_189        =   67.0000 +     0.8500x    -0.0000x^2    -0.8500x_3 ; Bezier Curve 
|      17100 <= x <       17160;  y_190        =   82.0000 +     8.5083x   -16.7167x^2     7.3583x_3 ; Bezier Curve 
|      17190 <= x <       17250;  y_191        =   86.0000 +     1.3583x    -4.9167x^2     3.3083x_3 ; Bezier Curve 
|      17280 <= x <       17340;  y_192        =   64.0000 +    -8.7833x    19.6667x^2    -9.8833x_3 ; Bezier Curve 
|      17370 <= x <       17430;  y_193        =   67.0000 +     2.6667x    -3.9333x^2     1.0667x_3 ; Bezier Curve 
|      17460 <= x <       17520;  y_194        =   75.0000 +    -4.3333x     7.8667x^2    -3.1333x_3 ; Bezier Curve 
|      17550 <= x <       17610;  y_195        =   68.0000 +     1.3417x    -0.9833x^2    -0.4083x_3 ; Bezier Curve 
|      17640 <= x <       17700;  y_196        =   84.0000 +     8.5417x   -18.6833x^2     9.1917x_3 ; Bezier Curve 
|      17730 <= x <       17790;  y_197        =   85.0000 +    -1.0000x     0.0000x^2     1.0000x_3 ; Bezier Curve 
|      17820 <= x <       17880;  y_198        =   65.0000 +     1.4417x    -0.9833x^2    -0.5083x_3 ; Bezier Curve 
|      17910 <= x <       17970;  y_199        =   86.0000 +     0.4250x    -2.9500x^2     2.3750x_3 ; Bezier Curve 
|      18000 <= x <       18060;  y_200        =   65.0000 +     1.3917x    -0.9833x^2    -0.4583x_3 ; Bezier Curve 
|      18090 <= x <       18150;  y_201        =   85.0000 +    -1.0000x     0.0000x^2     1.0000x_3 ; Bezier Curve 
|      18180 <= x <       18240;  y_202        =   64.0000 +     0.5583x     0.9833x^2    -1.4917x_3 ; Bezier Curve 
|      18270 <= x <       18330;  y_203        =   83.0000 +    -0.4083x    -0.9833x^2     1.3417x_3 ; Bezier Curve 
|      18360 <= x <       18420;  y_204        =   66.0000 +    -4.4583x    10.8167x^2    -5.8083x_3 ; Bezier Curve 
|      18450 <= x <       18510;  y_205        =   26.0000 +   -28.1250x    56.0500x^2   -25.0750x_3 ; Bezier Curve 
|      18540 <= x <       18600;  y_206        =   63.0000 +     0.5083x     0.9833x^2    -1.4417x_3 ; Bezier Curve 
|      18630 <= x <       18690;  y_207        =   85.0000 +    -0.0667x    -1.9667x^2     1.9333x_3 ; Bezier Curve 
|      18720 <= x <       18780;  y_208        =   64.0000 +     0.5083x     0.9833x^2    -1.4417x_3 ; Bezier Curve 
|      18810 <= x <       18870;  y_209        =   80.0000 +    -1.2250x     2.9500x^2    -1.5750x_3 ; Bezier Curve 
|      18900 <= x <       18960;  y_210        =   82.0000 +    -0.7000x     0.0000x^2     0.7000x_3 ; Bezier Curve 
|      18990 <= x <       19050;  y_211        =   69.0000 +    -7.1167x    15.7333x^2    -7.8167x_3 ; Bezier Curve 
|      19080 <= x <       19140;  y_212        =   66.0000 +     1.4917x    -0.9833x^2    -0.5583x_3 ; Bezier Curve 
|      19170 <= x <       19230;  y_213        =   83.0000 +    -1.8833x     1.9667x^2     0.0167x_3 ; Bezier Curve 
|      19260 <= x <       19320;  y_214        =   65.0000 +     0.9500x     0.0000x^2    -0.9500x_3 ; Bezier Curve 
|      19350 <= x <       19410;  y_215        =   84.0000 +    -1.3917x     0.9833x^2     0.4583x_3 ; Bezier Curve 
|      19440 <= x <       19500;  y_216        =   65.0000 +     0.2083x     0.9833x^2    -1.1417x_3 ; Bezier Curve 
|      19530 <= x <       19590;  y_217        =   84.0000 +    -1.4417x     0.9833x^2     0.5083x_3 ; Bezier Curve 
|      19620 <= x <       19680;  y_218        =   65.0000 +     1.0000x     0.0000x^2    -1.0000x_3 ; Bezier Curve 
|      19710 <= x <       19770;  y_219        =   83.0000 +    -1.3417x     0.9833x^2     0.4083x_3 ; Bezier Curve 
|      19800 <= x <       19860;  y_220        =   63.0000 +    -0.3750x     2.9500x^2    -2.4250x_3 ; Bezier Curve 
|      19890 <= x <       19950;  y_221        =   71.0000 +    -0.0417x     0.9833x^2    -0.8917x_3 ; Bezier Curve 
|      19980 <= x <       20040;  y_222        =   84.0000 +    -0.1583x    -0.9833x^2     1.0917x_3 ; Bezier Curve 
|      20070 <= x <       20130;  y_223        =   71.0000 +     0.0583x     0.9833x^2    -0.9917x_3 ; Bezier Curve 
|      20160 <= x <       20220;  y_224        =   81.0000 +    -0.4000x     0.0000x^2     0.4000x_3 ; Bezier Curve 
|      20250 <= x <       20310;  y_225        =   73.0000 +    -5.5500x    11.8000x^2    -5.6500x_3 ; Bezier Curve 
|      20340 <= x <       20400;  y_226        =   81.0000 +    -0.2917x     0.9833x^2    -0.6417x_3 ; Bezier Curve 
|      20430 <= x <       20490;  y_227        =   85.0000 +     0.8833x    -1.9667x^2     0.9833x_3 ; Bezier Curve 
