|      12420 <= x <       12480;  y_138        =   78.0000 +     7.2250x   -14.7500x^2     6.7750x_3 ; Bezier Curve 
|      12510 <= x <       12570;  y_139        =   80.0000 +     6.4750x   -14.7500x^2     7.5250x_3 ; Bezier Curve 
|      12600 <= x <       12660;  y_140        =   77.0000 +    -2.2750x     2.9500x^2    -0.5250x_3 ; Bezier Curve 
|      12690 <= x <       12750;  y_141        =   65.0000 +     0.7500x     0.0000x^2    -0.7500x_3 ; Bezier Curve 
|      12780 <= x <       12840;  y_142        =   79.0000 +     0.7750x    -2.9500x^2     2.0250x_3 ; Bezier Curve 
|      12870 <= x <       12930;  y_143        =   65.0000 +     0.5500x     0.0000x^2    -0.5500x_3 ; Bezier Curve 
|      12960 <= x <       13020;  y_144        =   79.0000 +    -0.6500x     0.0000x^2     0.6500x_3 ; Bezier Curve 
|      13050 <= x <       13110;  y_145        =   64.0000 +    -5.5417x    12.7833x^2    -6.5917x_3 ; Bezier Curve 
|      13140 <= x <       13200;  y_146        =   78.0000 +    -1.0917x     0.9833x^2     0.1583x_3 ; Bezier Curve 
|      13230 <= x <       13290;  y_147        =   73.0000 +    -1.0250x     2.9500x^2    -1.7750x_3 ; Bezier Curve 
|      13320 <= x <       13380;  y_148        =   80.0000 +     0.3417x    -0.9833x^2     0.5917x_3 ; Bezier Curve 
|      13410 <= x <       13470;  y_149        =   74.0000 +    -0.5500x     0.0000x^2     0.5500x_3 ; Bezier Curve 
|      13500 <= x <       13560;  y_150        =   62.0000 +     0.4083x     0.9833x^2    -1.3417x_3 ; Bezier Curve 
|      13590 <= x <       13650;  y_151        =   80.0000 +     0.0833x    -1.9667x^2     1.7833x_3 ; Bezier Curve 
|      13680 <= x <       13740;  y_152        =   62.0000 +     8.4083x   -16.7167x^2     7.4583x_3 ; Bezier Curve 
|      13770 <= x <       13830;  y_153        =   23.0000 +   -24.1500x    53.1000x^2   -26.2500x_3 ; Bezier Curve 
|      13860 <= x <       13920;  y_154        =   62.0000 +     1.3417x    -0.9833x^2    -0.4083x_3 ; Bezier Curve 
|      13950 <= x <       14010;  y_155        =   79.0000 +    -1.3417x     0.9833x^2     0.4083x_3 ; Bezier Curve 
|      14040 <= x <       14100;  y_156        =   62.0000 +     0.9000x    -0.0000x^2    -0.9000x_3 ; Bezier Curve 
|      14130 <= x <       14190;  y_157        =   79.0000 +     7.0667x   -15.7333x^2     7.8667x_3 ; Bezier Curve 
|      14220 <= x <       14280;  y_158        =   79.0000 +    -0.2583x    -0.9833x^2     1.1917x_3 ; Bezier Curve 
|      14310 <= x <       14370;  y_159        =   64.0000 +     0.8500x    -0.0000x^2    -0.8500x_3 ; Bezier Curve 
|      14400 <= x <       14460;  y_160        =   81.0000 +     9.3417x   -18.6833x^2     8.3917x_3 ; Bezier Curve 
|      14490 <= x <       14550;  y_161        =   78.0000 +    -1.1417x     0.9833x^2     0.2083x_3 ; Bezier Curve 
|      14580 <= x <       14640;  y_162        =   65.0000 +     1.6333x    -1.9667x^2     0.2333x_3 ; Bezier Curve 
|      14670 <= x <       14730;  y_163        =   77.0000 +    -3.2583x     4.9167x^2    -1.4083x_3 ; Bezier Curve 
|      14760 <= x <       14820;  y_164        =   62.0000 +    -9.0333x    19.6667x^2    -9.6333x_3 ; Bezier Curve 
|      14850 <= x <       14910;  y_165        =   76.0000 +     1.2833x    -1.9667x^2     0.5833x_3 ; Bezier Curve 
|      14940 <= x <       15000;  y_166        =   83.0000 +    14.4000x   -29.5000x^2    13.6000x_3 ; Bezier Curve 
|      15030 <= x <       15090;  y_167        =   66.0000 +     0.6500x     0.0000x^2    -0.6500x_3 ; Bezier Curve 
|      15120 <= x <       15180;  y_168        =   80.0000 +    -0.5417x     0.9833x^2    -0.3917x_3 ; Bezier Curve 
|      15210 <= x <       15270;  y_169        =   81.0000 +    -0.6500x     0.0000x^2     0.6500x_3 ; Bezier Curve 
|      15300 <= x <       15360;  y_170        =   71.0000 +     2.9583x    -4.9167x^2     1.7083x_3 ; Bezier Curve 
|      15390 <= x <       15450;  y_171        =   81.0000 +     1.5083x    -4.9167x^2     3.1583x_3 ; Bezier Curve 
|      15480 <= x <       15540;  y_172        =   62.0000 +     1.0833x    -1.9667x^2     0.7833x_3 ; Bezier Curve 
|      15570 <= x <       15630;  y_173        =   79.0000 +     7.9667x   -15.7333x^2     6.9667x_3 ; Bezier Curve 
|      15660 <= x <       15720;  y_174        =   81.0000 +    -0.2000x     0.0000x^2     0.2000x_3 ; Bezier Curve 
|      15750 <= x <       15810;  y_175        =   79.0000 +    -1.3417x     0.9833x^2     0.4083x_3 ; Bezier Curve 
|      15840 <= x <       15900;  y_176        =   61.0000 +    -7.9500x    17.7000x^2    -8.8500x_3 ; Bezier Curve 
|      15930 <= x <       15990;  y_177        =   81.0000 +    -1.1000x     0.0000x^2     1.1000x_3 ; Bezier Curve 
|      16020 <= x <       16080;  y_178        =   62.0000 +     7.6333x   -13.7667x^2     5.4333x_3 ; Bezier Curve 
|      16110 <= x <       16170;  y_179        =   23.0000 +   -23.3167x    51.1333x^2   -25.2167x_3 ; Bezier Curve 
|      16200 <= x <       16260;  y_180        =   79.0000 +    -0.8500x     0.0000x^2     0.8500x_3 ; Bezier Curve 
|      16290 <= x <       16350;  y_181        =   64.0000 +     1.6333x    -1.9667x^2     0.2333x_3 ; Bezier Curve 
|      16380 <= x <       16440;  y_182        =   80.0000 +    -0.3583x    -0.9833x^2     1.2917x_3 ; Bezier Curve 
|      16470 <= x <       16530;  y_183        =   62.0000 +    -0.1333x     1.9667x^2    -1.7333x_3 ; Bezier Curve 
|      16560 <= x <       16620;  y_184        =   78.0000 +    -1.2917x     0.9833x^2     0.3583x_3 ; Bezier Curve 
|      16650 <= x <       16710;  y_185        =   64.0000 +     0.4000x    -0.0000x^2    -0.4000x_3 ; Bezier Curve 
|      16740 <= x <       16800;  y_186        =   77.0000 +    -1.6333x     1.9667x^2    -0.2333x_3 ; Bezier Curve 
|      16830 <= x <       16890;  y_187        =   61.0000 +     0.4083x     0.9833x^2    -1.3417x_3 ; Bezier Curve 
|      16920 <= x <       16980;  y_188        =   79.0000 +    -0.8000x     0.0000x^2     0.8000x_3 ; Bezier Curve 
|      17010 <= x <       17070;  y_189        =   64.0000 +     0.6917x    -0.9833x^2     0.2417x_3 ; Bezier Curve 
|      17100 <= x <       17160;  y_190        =   79.0000 +     8.4083x   -16.7167x^2     7.4583x_3 ; Bezier Curve 
|      17190 <= x <       17250;  y_191        =   80.0000 +     0.5750x    -2.9500x^2     2.2250x_3 ; Bezier Curve 
|      17280 <= x <       17340;  y_192        =   60.0000 +    -8.2917x    18.6833x^2    -9.4417x_3 ; Bezier Curve 
|      17370 <= x <       17430;  y_193        =   63.0000 +     2.7667x    -3.9333x^2     0.9667x_3 ; Bezier Curve 
|      17460 <= x <       17520;  y_194        =   73.0000 +    -2.4667x     3.9333x^2    -1.2667x_3 ; Bezier Curve 
|      17550 <= x <       17610;  y_195        =   64.0000 +     0.8000x    -0.0000x^2    -0.8000x_3 ; Bezier Curve 
|      17640 <= x <       17700;  y_196        =   77.0000 +     6.6750x   -14.7500x^2     7.3250x_3 ; Bezier Curve 
|      17730 <= x <       17790;  y_197        =   79.0000 +    -1.9333x     1.9667x^2     0.0667x_3 ; Bezier Curve 
